                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.464,                 4.9721,                 1.5059,                0.00136,                0.21726,                0.02717,                0.02054,                 1.2595,                 4.9268,                 1.1436,              0.0001625,              0.0001625,              0.0001625
                      2,                 1.3343,                 4.0538,                 1.2919,                0.00458,                0.68452,                0.15432,                0.09758,                 1.3383,                  4.652,                 1.1593,             0.00030409,             0.00030409,             0.00030409
                      3,                 1.3355,                 3.3858,                 1.2963,                0.00366,                0.68452,                0.27784,                0.11597,                 1.2293,                 4.5489,                 1.1364,             0.00041103,             0.00041103,             0.00041103
                      4,                 1.2946,                 3.1952,                 1.2936,                0.00365,                0.49702,                 0.1719,                0.08506,                  1.383,                 4.5194,                 1.2182,             0.00048331,             0.00048331,             0.00048331
                      5,                  1.279,                  3.015,                 1.2866,                0.38383,                0.24702,                0.23348,                0.14332,                 1.2692,                 4.3978,                   1.19,             0.00052095,             0.00052095,             0.00052095
                      6,                 1.3066,                 2.9245,                 1.2475,                0.73988,                 0.1586,                0.26887,                0.14185,                 1.2951,                 4.2112,                 1.2159,             0.00052394,             0.00052394,             0.00052394
                      7,                 1.1963,                  2.742,                 1.1621,                0.80149,                0.13071,                0.36628,                0.21722,                 1.3798,                 4.1485,                  1.256,             0.00049228,             0.00049228,             0.00049228
                      8,                  1.195,                 2.5061,                 1.1886,                0.85541,                0.41859,                0.55689,                0.35655,                 1.2805,                 3.6529,                 1.2662,             0.00038375,             0.00038375,             0.00038375
                      9,                 1.1307,                 2.3347,                 1.1458,                0.74003,                0.47917,                0.51863,                0.32713,                 1.2914,                 3.5577,                 1.2704,                0.00026,                0.00026,                0.00026
                     10,                 1.1078,                 2.2067,                 1.1243,                0.71539,                0.47917,                0.54053,                0.34449,                 1.3382,                  3.409,                 1.2556,             0.00013625,             0.00013625,             0.00013625
